CODEBUCH,,,,,,
,,,,,,
,,,,,,
Wert,Kommentar,,,,,
edgelist,,,,,,
from,von,,,,,
to ,zu,,,,,
nodelist,,,,,,
id,ID der Person oder Organisation,,,,,
name,Name,,,,,
type,"0 steht für Person, 1 steht für Organisation",,,,,
sex,"1= männlich, 2= weiblich",,,,,
age,"1= unter 40 Jahre, 2= zwischen 40 und 50 Jahre, 3= zwischen 50 und 60 Jahre, 4= zwischen 60 und 70 Jahre, 5= zwischen 70 und 80 Jahre",,,,,
function,"1= Vorstand, 2= Aufsichtsrat",,,,,
representation,"1= Sport, 2= Kommunikation, 3= Wirtschaft, 4= Wissenschaft",,,,,
position,"1= Vorsitzender, 2= Stellvertreter, 3= einfaches Mitglied",,,,,
,,,,,,
Datensammlung,,,,,,
,,,,,,
Zählzeichen,Akteure,,VfB-Element,,Organisation,
,Thomas Hitzelsperger,,Vorstand (Vorsitzender),,Vfb,Ab hier Personen
,,,,,Ard,
,,,,,Bayrischerrundfunk,
,,,,,Nachwuchsleistungszentrum,
,,,,,Deutscherfusballbund,
,Oliver Schaft,,Vorstand,,Vfb,
,,,,,Clubmedien,
,Tobias Keller,,Vorstand,,Vfb,
,Claus Vogt,,Aufsichtsrat (Vorsitzender),,Vfb,
,,,,,Intesia,
,,,,,Fcplayfair,
,Wilfried Porth,,Aufsichtsrat (Stellvertreter),,Vfb,
,,,,,Daimler,
,Rainer Adrion,,Aufsichtsrat,,Vfb,
,,,,,Deutscherfusballbund,
,Hartmut Jenner,,Aufsichtsrat (Stellvertreter),,Vfb,
,,,,,Kaercher,
,,,,,Alfredkaercherförderstiftung,
,Franz Rainer,,Aufsichtsrat,,Vfb,
,,,,,Daimlermobility,
,Bertram Sugg,,Aufsichtsrat,,Vfb,
,,,,,Bosch,
,Vfbstuttgart,,,,Deutscherfusballbund,
,,,,,Daimler,
,Ard,,,,,Organisationen auserhalb
,Bayrischerrundfunk,,,,,
,Nachwuchsleistungszentrum,,,,,
,Clubmedien,,,,,
,Intesia,,,,,
,Fcplayfair,,,,,
,Daimler,,,,,
,Deutscherfußballbund,,,,,
,Kaercher,,,,,
,Alfredkaercherförderstiftung,,,,,
,Daimlermobility,,,,,
,Bosch,,,,,
